"","action","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","depth","transect_dist_m","collected_start","collected_end","bag_uid","bag_number","density_range","substrate.x","patchiness","adj_habitat_1","adj_habitat_2","sample_collected","vegetation_1","vegetation_2","comments","quality_log","substrate.y","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"1",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","21703","seagrass_habitat",2.4,"0 - 5","2022-08-06 08:34:00","2022-08-06 08:48:00","21703",22,NA,"mud,sand","< 1","seagrass",NA,TRUE,"ulva","scytosiphon",NA,"1: QCd by FM","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"2",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","2022-08-06_PRUTH_BAY_INTERIOR6_5 - 10","seagrass_habitat",2.5,"5 - 10","2022-08-06 08:34:00","2022-08-06 08:48:00","2022-08-06_PRUTH_BAY_INTERIOR6_5 - 10",NA,NA,"mud,sand","< 1","seagrass",NA,FALSE,"ulva",NA,NA,"1: QCd by FM","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"3",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","21743","seagrass_habitat",2.5,"10 - 15","2022-08-06 08:34:00","2022-08-06 08:48:00","21743",19,NA,"mud,sand","< 1","seagrass",NA,TRUE,"ulva",NA,NA,"1: QCd by FM","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"4",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","2022-08-06_PRUTH_BAY_INTERIOR6_15 - 20","seagrass_habitat",2.5,"15 - 20","2022-08-06 08:34:00","2022-08-06 08:48:00","2022-08-06_PRUTH_BAY_INTERIOR6_15 - 20",NA,NA,"mud,sand","< 1","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by FM","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"5",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","21335","seagrass_habitat",2.5,"25 - 30","2022-08-06 08:34:00","2022-08-06 08:48:00","21335",20,NA,"mud,sand","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by FM","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"6",NA,"HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","21724","seagrass_habitat",2.5,"20 - 25","2022-08-06 08:34:00","2022-08-06 08:48:00","21724",1,NA,"mud,sand","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by FM","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"7",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6","2022-08-11",6,"faye,krystal","gillian","21698","seagrass_habitat",3.9,"0 - 5","2022-08-12 11:32:00","2022-08-12 11:38:00","21698",40,NA,"sand,cobble","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.77933677,"-127.8720627",51.7794713,"-127.8719035"
"8",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6","2022-08-11",6,"faye,krystal","gillian","2022-08-11_KOEYE_ESTUARY_INTERIOR6_5 - 10","seagrass_habitat",4,"5 - 10","2022-08-12 11:32:00","2022-08-12 11:38:00","2022-08-11_KOEYE_ESTUARY_INTERIOR6_5 - 10",NA,NA,"sand,cobble","< 1","sand",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.77933677,"-127.8720627",51.7794713,"-127.8719035"
"9",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6","2022-08-11",6,"faye,krystal","gillian","21700","seagrass_habitat",3.6,"10 - 15","2022-08-12 11:32:00","2022-08-12 11:38:00","21700",44,NA,"sand,cobble","1 - 2","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.77933677,"-127.8720627",51.7794713,"-127.8719035"
"10",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6","2022-08-11",6,"faye,krystal","gillian","2022-08-11_KOEYE_ESTUARY_INTERIOR6_15 - 20","seagrass_habitat",3.7,"15 - 20","2022-08-12 11:32:00","2022-08-12 11:38:00","2022-08-11_KOEYE_ESTUARY_INTERIOR6_15 - 20",NA,NA,"sand,cobble","1 - 2","sand",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.77933677,"-127.8720627",51.7794713,"-127.8719035"
