"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","depth","transect_dist_m","collected_start","collected_end","bag_uid","bag_number","density_range","substrate","patchiness","adj_habitat_1","adj_habitat_2","sample_collected","vegetation_1","vegetation_2","comments","quality_log"
"1","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2021-08-06",1,"carolyn,faye,krystal","zach","20624","seagrass_habitat",3.4,"25 - 30","2021-08-06 02:25:00","2021-08-06 02:31:00","20624",121,NA,"sand,boulder","< 1","flat kelp",NA,TRUE,"agarum","saclat",NA,"1: QCd by KB"
"2","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2021-08-06",1,"carolyn,faye,krystal","zach","21586","seagrass_habitat",3.5,"20 - 25","2021-08-06 02:25:00","2021-08-06 02:31:00","21586",22,NA,"sand,boulder","1 - 2","flat kelp",NA,TRUE,"sacgro","agarum",NA,"1: QCd by KB"
"3","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2021-08-06",1,"carolyn,faye,krystal","zach","2021-08-06_PRUTH_BAY_EDGE1_15 - 20","seagrass_habitat",3.7,"15 - 20","2021-08-06 02:25:00","2021-08-06 02:31:00","2021-08-06_PRUTH_BAY_EDGE1_15 - 20",NA,NA,"sand,shell hash","< 1","flat kelp",NA,FALSE,"saclat","agarum",NA,"1: QCd by KB"
"4","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2021-08-06",1,"carolyn,faye,krystal","zach","21389","seagrass_habitat",3.8,"10 - 15","2021-08-06 02:25:00","2021-08-06 02:31:00","21389",122,NA,"sand,boulder","< 1","flat kelp",NA,TRUE,"agarum","saclat",NA,"1: QCd by KB"
"5","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2021-08-06",1,"carolyn,faye,krystal","zach","2021-08-06_PRUTH_BAY_EDGE1_5 - 10","seagrass_habitat",3.4,"5 - 10","2021-08-06 02:25:00","2021-08-06 02:31:00","2021-08-06_PRUTH_BAY_EDGE1_5 - 10",NA,NA,"sand,shell hash","< 1","flat kelp",NA,FALSE,NA,NA,NA,"1: QCd by KB"
"6","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2021-08-06",1,"carolyn,faye,krystal","zach","21283","seagrass_habitat",3.1,"0 - 5","2021-08-06 02:25:00","2021-08-06 02:31:00","21283",4020,NA,"sand","1 - 2","flat kelp",NA,TRUE,"saclat",NA,NA,"1: QCd by KB"
"7","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2021-08-06",2,"carolyn,faye,krystal","zach","21501","seagrass_habitat",3.8,"25 - 30","2021-08-06 02:49:00","2021-08-06 02:53:00","21501",309,NA,"sand,shell hash","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by KB"
"8","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2021-08-06",2,"carolyn,faye,krystal","zach","21388","seagrass_habitat",3.8,"20 - 25","2021-08-06 02:49:00","2021-08-06 02:53:00","21388",4011,NA,"sand,shell hash","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by KB"
"9","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2021-08-06",2,"carolyn,faye,krystal","zach","2021-08-06_PRUTH_BAY_EDGE2_15 - 20","seagrass_habitat",3.8,"15 - 20","2021-08-06 02:49:00","2021-08-06 02:53:00","2021-08-06_PRUTH_BAY_EDGE2_15 - 20",NA,NA,"sand,shell hash","< 1","sand",NA,FALSE,"drift",NA,NA,"1: QCd by KB"
"10","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2021-08-06",2,"carolyn,faye,krystal","zach","21486","seagrass_habitat",3.5,"10 - 15","2021-08-06 02:49:00","2021-08-06 02:53:00","21486",15,NA,"sand,shell hash","< 1","sand",NA,TRUE,"drift",NA,NA,"1: QCd by KB"
